character,frequency,onyomi,kunyomi,jlpt,meaning
嘉,1553,カ,よみ.する よい,1,applaud; praise; esteem; happy; auspicious
夏,659,カ ガ ゲ,なつ,3,summer
嫁,1581,カ,よめ とつ.ぐ い.く ゆ.く,1,marry into; bride
家,133,カ ケ,いえ や うち,3,house; home; family; professional; expert; performer
寡,2035,カ,,1,widow; minority; few
科,531,カ,,2,department; course; section
暇,1386,カ,ひま いとま,1,spare time; rest; leisure; time; leave of absence
果,258,カ,は.たす はた.す -は.たす は.てる -は.てる は.て,2,fruit; reward; carry out; achieve; complete; end; finish; succeed
架,1555,カ,か.ける か.かる,1,erect; frame; mount; support; shelf; construct
歌,519,カ,うた うた.う,3,song; sing
河,663,カ,かわ,2,river
火,574,カ,ひ -び ほ-,4,fire
珂,2227,カ,,,jewel
禍,2010,カ,わざわい,1,calamity; misfortune; evil; curse
禾,,カ,いね,,two-branch tree radical (no. 115)
稼,1264,カ,かせ.ぐ,1,earnings; work; earn money
箇,,カ コ,,1,counter for articles
花,578,カ ケ,はな,4,flower
苛,,カ,いじ.める さいな.む いらだ.つ からい こまかい,,torment; scold; chastise
茄,,カ,,1,eggplant
荷,1230,カ,に,2,baggage; shoulder-pole load; bear (a burden); shoulder (a gun); load; cargo; freight
華,1085,カ ケ,はな,1,splendor; flower; petal; shine; luster; ostentatious; showy; gay; gorgeous
菓,1719,カ,,2,candy; cakes; fruit
蝦,2501,カ ゲ,えび,,shrimp; prawn; lobster
課,455,カ,,2,chapter; lesson; section; department; division; counter for chapters (of a book)
嘩,,カ ケ,かまびす.しい,,noisy
貨,822,カ,たから,2,freight; goods; property
迦,2160,カ ケ,,,(used phonetically)
過,285,カ,す.ぎる す.ごす あやま.ち あやま.つ よぎ.る よ.ぎる,2,overdo; exceed; go beyond; error
霞,1603,カ ゲ,かすみ かす.む,1,be hazy; grow dim; blurred
蚊,2121,ブン,か,1,mosquito
俄,,ガ,にわか,,sudden; abrupt; improvised
峨,2234,ガ,けわ.しい,,high mountain
我,829,ガ,われ わ わ.が- わが-,1,ego; I; selfish; our; oneself
牙,2067,ガ ゲ,きば は,,tusk; fang; tusk radical (no. 92)
画,199,ガ カク エ カイ,えが.く かく.する かぎ.る はかりごと はか.る,3,brush-stroke; picture
臥,,ガ,ふせ.る ふ.せる ふ.す,,bend down; bow; lie prostrate
芽,1691,ガ,め,1,bud; sprout; spear; germ
蛾,,ギ ガ,ひむし,,moth
賀,1056,ガ,,1,congratulations; joy
雅,1192,ガ,みや.び,1,gracious; elegant; graceful; refined
餓,1754,ガ,う.える,1,starve; hungry; thirst
駕,,カ ガ,かご が.する しのぐ のる,,vehicle; palanquin; litter; hitch up an animal
介,617,カイ,,2,jammed in; shellfish; mediate; concern oneself with
会,4,カイ エ,あ.う あ.わせる あつ.まる,4,meeting; meet; party; association; interview; join
解,176,カイ ゲ,と.く と.かす と.ける ほど.く ほぐ.す わか.る さと.る,2,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute
回,50,カイ エ,まわ.る -まわ.る -まわ.り まわ.す -まわ.す まわ.し- -まわ.し もとお.る か.える,3,-times; round; game; revolve; counter for occurrences
塊,1800,カイ ケ,かたまり つちくれ,1,clod; lump; chunk; clot; mass
壊,727,カイ エ,こわ.す こわ.れる やぶ.る,1,demolition; break; destroy
廻,,カイ エ,まわ.る まわ.す もとお.る めぐ.る めぐ.らす,,round; game; revolve; go around; circumference
快,1074,カイ,こころよ.い,2,cheerful; pleasant; agreeable; comfortable
怪,1634,カイ ケ,あや.しい あや.しむ,1,suspicious; mystery; apparition
悔,1460,カイ,く.いる く.やむ くや.しい,1,repent; regret
恢,,カイ ケ,ひろ.い,,wide; large; enlarge
懐,1493,カイ エ,ふところ なつ.かしい なつ.かしむ なつ.く なつ.ける なず.ける いだ.く おも.う,1,feelings; heart; yearn; miss someone; become attached to; bosom; breast; pocket
戒,1062,カイ,いまし.める,1,commandment
拐,1498,カイ,,1,kidnap; falsify
改,147,カイ,あらた.める あらた.まる,2,reformation; change; modify; mend; renew; examine; inspect; search
魁,2108,カイ,さきがけ かしら,1,charging ahead of others
晦,,カイ,つごもり くら.い みそか くら.む,,dark; disappear
械,1321,カイ,かせ,2,contraption; fetter; machine; instrument
海,200,カイ,うみ,3,sea; ocean
灰,1717,カイ,はい,2,ashes; puckery juice; cremate
界,158,カイ,,3,world; boundary
皆,1267,カイ,みな みんな,2,all; everything
絵,895,カイ エ,,2,picture; drawing; painting; sketch
芥,1929,カイ ケ,からし ごみ あくた,,mustard; rape; dust; trash; rubbish
蟹,2417,カイ,かに,,crab
開,59,カイ,ひら.く ひら.き -びら.き ひら.ける あ.く あ.ける,3,open; unfold; unseal
階,513,カイ,きざはし,2,storey; stair; counter for storeys of a building
貝,1787,バイ,かい,2,shellfish
凱,2293,ガイ カイ,かちどき やわらぐ,1,victory song
劾,2085,ガイ,,1,censure; criminal investigation
外,81,ガイ ゲ,そと ほか はず.す はず.れる と-,4,outside
咳,,カイ ガイ,せ.く しわぶ.く せき しわぶき,,cough; clear throat
害,358,ガイ,,2,harm; injury
崖,,ガイ ゲ ギ,がけ きし はて,,cliff; bluff; precipice
慨,1875,ガイ,なげ.く,1,rue; be sad; sigh; lament
概,1335,ガイ,おおむ.ね,1,outline; condition; approximation; generally
涯,1525,ガイ,はて,1,horizon; shore; limit; bound
碍,,ガイ ゲ,さまた.げる,,obstacle
蓋,2388,ガイ カイ コウ,ふた けだ.し おお.う かさ かこう,,cover; lid; flap
街,891,ガイ カイ,まち,1,boulevard; street; town
該,1648,ガイ,,1,above-stated; the said; that specific
鎧,,カイ ガイ,よろ.う よろい,,put on armor; arm oneself
骸,,ガイ カイ,むくろ,,bone; body; corpse
浬,,リ,かいり のっと,,knot; nautical mile
馨,2164,ケイ キョウ,かお.る かおり,1,fragrant; balmy; favourable
蛙,,ア ワ,かえる かわず,,frog
垣,1539,エン,かき,1,hedge; fence; wall
柿,1745,シ,かき,,persimmon
蛎,,レイ,かき,,oyster
鈎,,コウ ク,かぎ,,hook; barb; gaff; brackets
劃,,カク,わ.かつ くぎ.る,,divide
嚇,2141,カク,おど.す,1,menacing; dignity; majesty; threaten
各,243,カク,おのおの,2,each; every; either
廓,,カク,くるわ とりで,,enclosure; quarter; red-light district
拡,611,カク コウ,ひろ.がる ひろ.げる ひろ.める,2,broaden; extend; expand; enlarge
撹,,カク コウ,みだ.す,,disturb; throw into confusion
格,281,カク コウ キャク ゴウ,,2,"status; rank; capacity; character; case (law, grammar)"
核,475,カク,,1,nucleus; core; kernel
殻,1892,カク コク バイ,から がら,1,husk; nut shell
獲,964,カク,え.る,1,seize; get; find; earn; acquire; can; may; able to
確,252,カク コウ,たし.か たし.かめる,2,assurance; firm; tight; hard; solid; confirm; clear; evident
穫,1642,カク,,1,harvest; reap
覚,710,カク,おぼ.える さ.ます さ.める さと.る,2,memorize; learn; remember; awake; sober up
角,805,カク,かど つの,2,angle; corner; square; horn; antlers
赫,,カク,あかい あか かがや.く,,suddenly; brighten; illuminate; light up
較,1172,カク コウ,くら.べる,2,contrast; compare
郭,1670,カク,くるわ,1,enclosure; quarters; fortification; red-light district
閣,444,カク,,1,tower; tall building; palace
隔,1382,カク,へだ.てる へだ.たる,1,isolate; alternate; distance; separate; gulf
革,249,カク,かわ,2,leather; skin; reform; become serious
学,63,ガク,まな.ぶ,4,study; learning; science
岳,1334,ガク,たけ,1,point; peak; mountain
楽,373,ガク ラク ゴウ,たの.しい たの.しむ この.む,3,music; comfort; ease
額,407,ガク,ひたい,2,forehead; tablet; plaque; framed picture; sum; amount; volume
顎,,ガク,あご あぎと,,jaw; chin; gill
掛,1027,カイ ケイ,か.ける -か.ける か.け -か.け -が.け か.かる -か.かる -が.かる か.かり -が.かり かかり -がかり,1,hang; suspend; depend; arrive at; tax; pour
笠,1499,リュウ,かさ,,bamboo hat; one's influence
樫,2297,,かし,,evergreen oak; (kokuji)
橿,2198,キョウ,かし もちのき,,oak
梶,1355,ビ,かじ こずえ,,sculling oar
鰍,,シュウ シュ,かじか いなだ どじょう,,bullhead
潟,1204,セキ,かた -がた,1,lagoon
割,318,カツ,わ.る わり わ.り わ.れる さ.く,2,proportion; comparatively; divide; cut; separate; split
喝,1858,カツ,,1,hoarse; scold
恰,,コウ カッ チョウ キョウ,あたか.も,,just as; as though; fortunately
括,1026,カツ,くく.る,1,fasten; tie up; arrest; constrict
活,171,カツ,い.きる い.かす い.ける,2,lively; resuscitation; being helped; living
渇,1944,カツ,かわ.く,1,thirst; dry up; parch
滑,1238,カツ コツ,すべ.る なめ.らか,1,slippery; slide; slip; fail exam
葛,1547,カツ カチ,つづら くず,,arrowroot; kudzu
褐,2186,カツ,,1,brown; woollen kimono
轄,1771,カツ,くさび,1,control; wedge
